Database type,ID,Year,Month,Day,Time,Country,County,State,Locality,Latitude,Longitude,Elevation..m.,Songtype,Stimulus,Habitat,Background.Species,Processed.comments,X..of.songs.in.recording,Remarks
ML,10027,1958.0,6.0,19.0,1035.0,United States,NA,Oregon,Langdon Lake; Blue Mountains,NA,NA,NA,song,NA,Forest; Coniferous Forest,NA,IS,9.0," NOTES: [Two song-types are represented here.  Both songs are closest to Figures 19C or 19D of D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology)), but one begins with clear whistles and the other with a buzzy trill.  Most songs here are of the first type (0:05, 0:18, 0:33, 0:46, 0:50, 1:00, 1:12, and 1:35), but the last three are either incomplete (1:49, 2:15) or of the second type (2:01).  Songs of the first type are much like those in LNS #47707 from SE Washington.  There appears to be a start-stop at 1:39, with the song that begins here apparently decapitated.  Quality unchanged (2-1, but many of these songs appear to be overloaded) - CAM - 20 January 2005]"
ML,10028,1959.0,5.0,2.0,0.0,Canada,NA,British Columbia,Nanaimo,NA,NA,NA,song,NA,Forest; Coniferous Forest; Deciduous Forest,Troglodytes pacificus -- Pacific Wren; Ixoreus naevius -- Varied Thrush,IS,29.0," NOTES: HIGHEST LEVEL AND BEST AT BEGINNING OF CUT.  [A single song-type is represented here, but it neither sounds like other recordings available nor looks like any of the figures of D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology).  Although I do not know what species gave these songs, I suspect that it was not Dendroica townsendi (possibly D. coronata?)  Quality changed from 2 to 2-1, 1-2 (signal louder at first but cleaner towards the end) - CAM - 20 January 2005]"
ML,10029,1961.0,7.0,13.0,600.0,United States,NA,Washington,MT. RAINIER NATIONAL PARK,NA,NA,915.0,song,NA,Coniferous Forest; Deciduous Forest,NA,IS,9.0, NOTES: [A single song-type is represented here (most like Figure 19F of D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology)).  Quality changed from 2-1 to 1-2 (some tape hiss) - CAM - 20 January 2005]
ML,10030,1961.0,7.0,13.0,630.0,United States,NA,Washington,MT. RAINIER NATIONAL PARK; BOX CANYON,NA,NA,915.0,call; song,NA,Coniferous Forest,NA,IS,14.0," NOTES: [A single song-type is represented here, but it is unlike any other recordings available or any figures in D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology).  Not only do these songs sound more like those of D. occidentalis than do those in most other recordings, but this was recorded in (or at least very near) what is now known to be a zone of hybridization for these two species.  The calls here also do not sound typical for this species, though it is possible that they are not the standard ""chip"" calls.  Quality unchanged (2 - wind/water rumble) - CAM - 20 January 2005]"
ML,22965,1961.0,5.0,13.0,0.0,United States,El Dorado,California,NEAR BALDERSTON STATION; EL DORADO CO.balder,NA,NA,NA,call; song,Playback Self,Coniferous Forest; Deciduous Forest,Turdus migratorius -- American Robin,IS,6.0," NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Beh. context: UNKNOWN; General climate: CYCLIC WET-DRY;  Cover density: MEDIUM;   Age: UNKNOWN AGE; MALE(S)  (MLNS Notes: HPF@225 hz when digitized. CZ 03/10/03)  [A single song-type is represented here, but I suspect that this is Dendroica occidentalis NOT D. townsendi.  If it was D. townsendi, it was a spring migrant because this species does not breed even remotely near the Sierra Nevada.  This recording neither sounds like other recordings available for D. townsendi nor do spectrograms of these songs look like any of the figures of this species' songs in D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology).  Although also not identical, the spectrograms do appear like those of D. occidentalis, a common breeding species in this region.  Quality unchanged (2) - CAM - 20 January 2005]"
ML,47702,1990.0,6.0,23.0,550.0,United States,NA,Washington,19.0 km NE of Walla Walla; Lewis Peak Rd.,46.1666667,-118.1166667,1060.0,advertise; court; song,Natural,Forest; Coniferous Forest,NA,IS,7.0," NOTES: NOTES ON DATA FORM: 140Hz cut.       Bird was singing in canopy moving from tree to tree. Entire cut same bird. Some upper end distortion.  (MLNS Notes: HPF@225 hz when digitized. CZ 03/10/03)  [Two different song-types are represented here.  The first song (0:08-0:11) is much like Figure 19C of D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology), but the remaining six songs (0:27-1:48) are all closest to Figure 19G (though also recognizeably different).  Quality changed from 2 to 2, 1-2 - CAM - 20 January 2005]"
ML,47704,1990.0,6.0,23.0,620.0,United States,NA,Washington,19.0 km NE of Walla Walla; Lewis Peak Rd.,46.1666667,-118.1166667,1060.0,advertise; song,Natural,Forest; Coniferous Forest,Tamiasciurus hudsonicus -- Red Squirrel,IS,7.0," NOTES: NOTES ON DATA FORM: 140hz cut  [A single song-type is represented in these seven songs, one that is most like Figure 19C in D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology).  These songs are also quite similar to the first song in LNS #47702 and those in LNS #50326.  Quality changed from 2 to 2, 2-1 - CAM - 21 January 2005]"
ML,47707,1990.0,6.0,23.0,730.0,United States,NA,Washington,19.0 km NE of Walla Walla; Lewis Peak Rd.,46.1666667,-118.1166667,1060.0,advertise; song,Natural,Forest; Coniferous Forest,NA,IS,19.0," NOTES: NOTES ON DATA FORM: nice recording!  [A single song-type is represented in these 19 songs, one that is unlike any pictured by D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology).  These songs are similar to the second song-type in LNS #47702 recorded at this same site earlier this same day.  Quality changed from 1 to 2-1, 1-2 (BEST part is at 1:08-2:10) - CAM - 21 January 2005]"
ML,50312,1990.0,6.0,20.0,640.0,United States,Glacier,Montana,15.0 km NW of West Glacier; Glacier Nat. Park,NA,NA,1e3,advertise; song,Natural,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Montane Grassland,NA,IS,7.0," NOTES: dawn +1.0hrs; species cut number 10  [A single song-type is represented in these seven songs, one that is unlike any pictured by D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology).  These songs are almost identical to those in LNS #50314.  Quality changed from 1 to 1-2 - CAM - 21 January 2005]"
ML,50314,1990.0,6.0,20.0,1222.0,United States,Glacier,Montana,15.0 km NW of West Glacier; Glacier Nat. Park,NA,NA,1e3,advertise; song,Natural,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Montane Grassland,NA,IS,12.0," NOTES: noon +0.0hrs; species cut number 11; for weather, light rain  [A single song-type is represented in these 12 songs, one that is unlike any pictured by D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology).  These songs are almost identical to those in LNS #50312.  Quality changed from 1 to 1/1-2 - CAM - 21 January 2005]"
